identifier,title
2.0.cov.Math.pl_2.prv,"Coverage: Mathematics Proficiency Level 2, Private schools"
2.0.cov.Math.pl_2.pub,"Coverage: Mathematics Proficiency Level 2, Public schools"
2.0.cov.Math.pl_3.all,Coverage: Mathematics Proficiency Level 3
2.0.cov.Math.pl_3.prv,"Coverage: Mathematics Proficiency Level 3, Private schools"
2.0.cov.Math.pl_3.pub,"Coverage: Mathematics Proficiency Level 3, Public schools"
2.0.cov.Read.pl_2.all,Coverage: Reading Proficiency Level 2
2.0.cov.Read.pl_2.prv,"Coverage: Reading Proficiency Level 2, Private schools"
2.0.cov.Read.pl_2.pub,"Coverage: Reading Proficiency Level 2, Public schools"
2.0.cov.Read.pl_3.all,Coverage: Reading Proficiency Level 3
2.0.cov.Read.pl_3.prv,"Coverage: Reading Proficiency Level 3, Private schools"
2.0.cov.Read.pl_3.pub,"Coverage: Reading Proficiency Level 3, Public schools"
2.0.cov.San,Coverage: Sanitation
2.0.cov.Sch,Coverage: School Enrollment
2.0.cov.Scie.pl_2.all,Coverage: Science Proficiency Level 2
2.0.cov.Scie.pl_2.prv,"Coverage: Science Proficiency Level 2, Private schools"
2.0.cov.Scie.pl_2.pub,"Coverage: Science Proficiency Level 2, Public schools"
2.0.cov.Scie.pl_3.all,Coverage: Science Proficiency Level 3
2.0.cov.Scie.pl_3.prv,"Coverage: Science Proficiency Level 3, Private schools"
2.0.cov.Scie.pl_3.pub,"Coverage: Science Proficiency Level 3, Public schools"
2.0.cov.Wat,Coverage: Water
2.0.hoi.C6G,HOI: Completing 6th grade on time
2.0.hoi.Cel,HOI: Mobile Phone
2.0.hoi.Ele,HOI: Electricity
2.0.hoi.Int,HOI: Internet
2.0.hoi.Math.pl_2.all,HOI: Mathematics Proficiency Level 2
2.0.hoi.Math.pl_2.prv,"HOI: Mathematics Proficiency Level 2, Private schools"
2.0.hoi.Math.pl_2.pub,"HOI: Mathematics Proficiency Level 2, Public schools"
2.0.hoi.Math.pl_3.all,HOI: Mathematics Proficiency Level 3
2.0.hoi.Math.pl_3.prv,"HOI: Mathematics Proficiency Level 3, Private schools"
2.0.hoi.Math.pl_3.pub,"HOI: Mathematics Proficiency Level 3, Public schools"
2.0.hoi.Read.pl_2.all,HOI: Reading Proficiency Level 2
2.0.hoi.Read.pl_2.prv,"HOI: Reading Proficiency Level 2, Private schools"
2.0.hoi.Read.pl_2.pub,"HOI: Reading Proficiency Level 2, Public schools"
2.0.hoi.Read.pl_3.all,HOI: Reading Proficiency Level 3
2.0.hoi.Read.pl_3.prv,"HOI: Reading Proficiency Level 3, Private schools"
2.0.hoi.Read.pl_3.pub,"HOI: Reading Proficiency Level 3, Public schools"
2.0.hoi.San,HOI: Sanitation
2.0.hoi.Sch,HOI: School Enrollment
2.0.hoi.Scie.pl_2.all,HOI: Science Proficiency Level 2
2.0.hoi.Scie.pl_2.prv,"HOI: Science Proficiency Level 2, Private schools"
2.0.hoi.Scie.pl_2.pub,"HOI: Science Proficiency Level 2, Public schools"
2.0.hoi.Scie.pl_3.all,HOI: Science Proficiency Level 3
2.0.hoi.Scie.pl_3.prv,"HOI: Science Proficiency Level 3, Private schools"
2.0.hoi.Scie.pl_3.pub,"HOI: Science Proficiency Level 3, Public schools"
2.0.hoi.Wat,HOI: Water
2.01.01.02.nabase,National accounts base year
2.01.03.01.prcpbase,Consumer price index base year
2.04.01.01.excncpt,Balance of payments manual in use
2.1_PRE.PRIMARY.GER,"School enrolment, preprimary, national source (% gross)"
2.2_GIR,"Gross intake ratio in grade 1, total, national source (% of relevant age group)"
2.3_GIR.GPI,Gender parity index for gross intake ratio in grade 1
2.4_OOSC.RATE,"Rate of out of school children, national source (% of relevant age group)"
2.5_PCR,"Primary completion rate, total, national source (% of relevant age group)"
2.6_PCR.GPI,Gender parity index for primary completion rate
2.7_PRI.SEC.TRANSITION.RATE,"Progression to secondary school, national source (%)"
2.8_LOW.SEC.COMPLETION.RATE,"Lower secondary completion rate, total, national source (% of relevant age group)"
3.0.Atkin.0.5,"Atkinson, A(.5)"
3.0.Atkin.1,"Atkinson, A(1)"
3.0.Atkin.2,"Atkinson, A(2)"
3.0.GenEnt-1,"Generalized Entrophy, GE(-1)"
3.0.GenEnt2,"Generalized Entrophy, GE(2)"
3.0.Gini,GINI Coefficient
3.0.Gini_nozero,GINI Coefficient (No Zero Income)
3.0.IncShr.q1,Income Share of First Quintile
3.0.IncShr.q2,Income Share of Second Quintile
3.0.IncShr.q3,Income Share of Third Quintile
3.0.IncShr.q4,Income Share of Fourth Quintile
3.0.IncShr.q5,Income Share of Fifth Quintile
3.0.MLongDev0,"Mean Log Deviation, GE(0)"
3.0.Rate75-25,Rate 75/25
3.0.Rate90-10,Rate 90/10
3.0.TheilInd1,"Theil Index, GE(1)"
3.01.04.01.agcen,Agricultural census
3.02.01.02.fscov,Government finance accounting
3.1.Gini,"Gini, Rural"
3.1.MLongDev0,"Mean Log Deviation, GE(0), Rural"
3.1.TheilInd1,"Theil Index, GE(1), Rural"
3.11.01.01.popcen,Population census
3.11.01.03.popreg,Vital registration system coverage
3.11_LOW.SEC.CLASSROOMS,"Lower secondary education, classrooms, national source"
3.12_LOW.SEC.NEW.CLASSROOMS,"Lower secondary education, new classrooms, national source"
3.13_PRI.MATH.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, mathematics"
3.14_PRI.LANGU.BOOK.PER.PUPIL,"Ratio of textbooks per pupil, primary education, language"
3.15_LEARN.TIME.TEACHER.STUDY,Last study on effective learning time and teacher attendance (year)
3.1_LOW.SEC.NEW.TEACHERS,"Lower secondary education, new teachers, national source"
3.1_PRI.NEW.ENTRANTS,"Primary education, new entrants, national source"
3.2.Gini,"GINI, Urban"
3.2.MLongDev0,"Mean Log Deviation, GE(0),Urban"
3.2.TheilInd1,"Theil Index, GE(1),Urban"
3.2_PRI.STUDENTS,"Primary education, pupils, national source"
3.3_PRI.TEACHERS,"Primary education, teachers, national source"
3.4_PRI.NEW.TEACHERS,"Primary education, new teachers, national source"
3.5_PRI.CLASSROOMS,"Primary education, classrooms, national source"
3.6_PRI.NEW.CLASSROOMS,"Primary education, new classrooms, national source"
3.7_LOW.SEC.NEW.ENTRANTS,"Lower Secondary education, new entrants, national source"
3.8_LOW.SEC.STUDENTS,"Lower secondary education, pupils, national source"
3.9_LOW.SEC.TEACHERS,"Lower secondary education, teachers, national source"
4.0.nini.15a18,Youth: Neither in School Nor Working (15-18)
4.0.nini.15a24,Youth: Neither in School Nor Working (15-24)
4.0.nini.19a24,Youth: Neither in School Nor Working (19-24)
4.0.stud.15a18,Youth: In School (15-18)
4.0.stud.15a24,Youth: In School (15-24)
4.0.stud.19a24,Youth: In School (19-24)
4.0.work.15a18,Youth: Employed (15-18)
4.0.work.15a24,Youth: Employed (15-24)
4.0.work.19a24,Youth: Employed (19-24)
4.1_TOTAL.EDU.SPENDING,Public spending on total education (% of total public spending)
4.2_BASIC.EDU.SPENDING,Public spending on basic education (% of public spending on total education)
4.3_TOTAL.EDU.RECURRENT,Public recurrent spending on total education (% of total public recurrent spending)
4.4_BASIC.EDU.RECURRENT,Public recurrent spending on basic education (% of public recurrent spending on total education)
5.0.AMeanIncGr.All.2003-2012,Annualized Mean Income Growth (2003-2012)
5.0.AMeanIncGr.All.2007-2012,Annualized Mean Income Growth (2007-2012)
5.0.AMeanIncGr.B40.2003-2012,Annualized Mean Income Growth Bottom 40 Percent (2003-2012)
5.0.AMeanIncGr.B40.2007-2012,Annualized Mean Income Growth Bottom 40 Percent (2007-2012)
5.0.SPCI,Shared Prosperity Convergence Indicator (SPCI)
5.01.01.01.indust,Industrial production index
5.04.01.01.exdebt,External debt reporting status
5.04.01.02.impexp,Import and export price indexes
5.1.10_AFG.TOTA.AID.SIDA,"International aid disbursed to total education, Sida to Afghanistan (USD million)"
5.1.10_ETH.TOTA.AID.JPN,"International aid disbursed to total education, Japan Government to Ethiopia (USD million)"
5.1.10_KHM.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Cambodia (USD million)"
5.1.10_LAO.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Laos (USD million)"
5.1.10_MOZ.TOTA.AID.JPN,"International aid disbursed to total education, Japan to Mozambique (USD million)"
5.1.10_MWI.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Malawi (USD million)"
5.1.10_NER.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Niger (USD million)"
5.1.10_TJK.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Tajikistan (USD million)"
5.1.11_AFG.TOTA.AID.UNESCO,"International aid disbursed to total education, UNESCO to Afghanistan (USD million)"
5.1.11_ETH.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Ethiopia (USD million)"
5.1.11_KHM.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Cambodia (USD million)"
5.1.11_LAO.TOTA.AID.INGOS,"International aid disbursed to total education, International NGOs to Laos (USD million)"
5.1.11_MWI.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Malawi (USD million)"
5.1.12_ETH.TOTA.AID.KFW,"International aid disbursed to total education, KfW to Ethiopia (USD million)"
5.1.13_AFG.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Afghanistan (USD million)"
5.1.13_ETH.TOTA.AID.NLD,"International aid disbursed to total education, Netherlands to Ethiopia (USD million)"
5.1.13_MOZ.TOTA.AID.ESP,"International aid disbursed to total education, Spain to Mozambique (USD million)"
5.1.14_ETH.TOTA.AID.SIDA,"International aid disbursed to total education, Sida to Ethiopia (USD million)"
5.1.14_MOZ.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Mozambique (USD million)"
5.1.15_ETH.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Ethiopia (USD million)"
5.1.15_MOZ.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Mozambique (USD million)"
5.1.16_ETH.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Ethiopia (USD million)"
5.1.16_MOZ.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Mozambique (USD million)"
5.1.17_ETH.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Ethiopia (USD million)"
5.1.18_ETH.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Ethiopia (USD million)"
5.1.1_AFG.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Afghanistan (USD million)"
5.1.1_ALB.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Albania (USD million)"
5.1.1_BFA.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Burkina Faso (USD million)"
5.1.1_CAF.TOT.AID.GPE,"International aid disbursed to total education, Global Partnership for Education to Central African Republic (USD million)"
5.1.1_CMR.TOTA.AID.BAD,"International aid disbursed to total education, AfDB to Cameroun (USD million)"
5.1.1_ETH.TOTA.AID.ADB,"International aid disbursed to total education, ADB to Ethiopia (USD million)"
5.1.1_GEO.TOTA.AID.EC,"International aid disbursed to total education, European Commission to Georgia (USD million)"
5.1.1_GHA.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Djibouti (USD million)"
5.1.1_GIN.TOTA.AID.ADPP.AFD,"International aid disbursed to total education, AFD to Guinea (USD million)"
5.1.1_GNB.TOTA.AID.ADPP.EU,"International aid disbursed to total education, ADPP (European Union) to Guinea Bissau (USD million)"
5.1.1_KGZ.TOTA.AID.ADPP.EU,"International aid disbursed to total education, European Commission to Kyrgyzstan (USD million)"
5.1.1_LAO.TOTA.AID.ADB,"International aid disbursed to total education, ADB to Laos (USD million)"
5.1.1_MDA.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Moldova (USD million)"
5.1.1_MOZ.TOTA.AID.CAN,"International aid disbursed to total education, Canada to Mozambique (USD million)"
5.1.1_MWI.TOTA.AID.AFDB,"International aid disbursed to total education, AfDB to Malawi (USD million)"
5.1.1_NER.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Niger (USD million)"
5.1.1_RWA.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Rwanda (USD million)"
5.1.1_SEN.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Senegal (USD million)"
5.1.1_VNM.TOTA.AID.BEL,"International aid disbursed to total education, Belgium to Vietnam (USD million)"
5.1.1_ZMB.TOTA.AID.DNK,"International aid disbursed to total education, Denmark to Zambia (USD million)"
5.1.2_AFG.TOTA.AID.DANIDA,"International aid disbursed to total education, DANIDA to Afghanistan (USD million)"
5.1.2_ALB.TOTA.AID.BEI,"International aid disbursed to total education, BEI to Albania (USD million)"
5.1.2_BFA.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Burkina Faso (USD million)"
5.1.2_CMR.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Cameroun (USD million)"
5.1.2_DJI.TOTA.AID.FSD,"International aid disbursed to total education, FSD to Djibouti (USD million)"
5.1.2_ETH.TOTA.AID.BEL,"International aid disbursed to total education, Belgium (VLIR USO) to Ethiopia (USD million)"
5.1.2_GEO.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Georgia (USD million)"
5.1.2_GNB.TOTA.AID.ADPP.HUM,"International aid disbursed to total education, ADPP (Humana People to People) to Guinea Bissau (USD million)"
5.1.2_KGZ.TOTA.AID.ADPP.GIZ,"International aid disbursed to total education, GIZ to Kyrgyzstan (USD million)"
5.1.2_LAO.TOTA.AID.AUS,"International aid disbursed to total education, AusAID to Laos (USD million)"
5.1.2_MDA.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Moldova (USD million)"
5.1.2_MDG.TOTA.AID.ILO,International aid to total education executed by ILO in Madagascar (USD million)
5.1.2_MWI.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Malawi (USD million)"
5.1.2_NER.TOTA.AID.BEL,"International aid disbursed to total education, Belgium to Niger (USD million)"
5.1.2_RWA.TOTA.AID.GPE,"International aid disbursed to total education, Global Partnership for Education to Rwanda (USD million)"
5.1.2_TJK.TOTA.AID.AGAK,"International aid disbursed to total education, Aga Khan to Tajikistan (USD million)"
5.1.2_VNM.TOTA.AID.CIDA,"International aid disbursed to total education, CIDA to Vietnam (USD million)"
5.1.3_AFG.TOTA.AID.FRA,"International aid disbursed to total education, France to Afghanistan (USD million)"
5.1.3_ALB.TOTA.AID.CEIB,"International aid disbursed to total education, CEIB to Albania (USD million)"
5.1.3_BFA.TOTA.AID.CHE,"International aid disbursed to total education, Switzerland to Burkina Faso (USD million)"
5.1.3_CIV.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Côte d'Ivoire (USD million)"
5.1.3_CMR.TOTA.AID.FR,"International aid disbursed to total education, AFD and French Embassy to Cameroun (USD million)"
5.1.3_DJI.TOTA.AID.AFD,"International aid disbursed to total education, AFD to Djibouti (USD million)"
5.1.3_ETH.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Ethiopia (USD million)"
5.1.3_GEO.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Georgia (USD million)"
5.1.3_GHA.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Djibouti (USD million)"
5.1.3_GIN.TOTA.AID.ADPP.WB,"International aid disbursed to total education, World Bank to Guinea (USD million)"
5.1.3_GNB.TOTA.AID.ADPP.OTH,"International aid disbursed to total education, ADPP (other donors) to Guinea Bissau (USD million)"
5.1.3_KGZ.TOTA.AID.ADPP.UNICEF,"International aid disbursed to total education, UNICEF to Kyrgyzstan (USD million)"
5.1.3_KHM.TOTA.AID.GPE,"International aid disbursed to total education, Global Partnership for Education to Cambodia (USD million)"
5.1.3_LBR.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Liberia (USD million)"
5.1.3_MDG.TOTA.AID.FR,International aid to total education executed by AFD and French Embassy in Madagascar (USD million)
5.1.3_MOZ.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Mozambique (USD million)"
5.1.3_MWI.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Malawi (USD million)"
5.1.3_RWA.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Rwanda (USD million)"
5.1.3_SEN.TOTA.AID.GPE,"International aid disbursed to total education, Global Partnership for Education to Senegal (USD million)"
5.1.3_TJK.TOTA.AID.OPENS,"International aid disbursed to total education, Open Society Foundations to Tajikistan (USD million)"
5.1.3_VNM.TOTA.AID.DFID,"International aid disbursed to total education, DFID to Vietnam (USD million)"
5.1.3_ZMB.TOTA.AID.ILO,"International aid disbursed to total education, ILO to Zambia (USD million)"
5.1.4_AFG.TOTA.AID.DEU,"International aid disbursed to total education, Germany to Afghanistan (USD million)"
5.1.4_BFA.TOTA.AID.DNK,"International aid disbursed to total education, Denmark to Burkina Faso (USD million)"
5.1.4_CIV.TOTA.AID.ISDB,"International aid disbursed to total education, IsDB to Côte d'Ivoire (USD million)"
5.1.4_DJI.TOTA.AID.AFDB,"International aid disbursed to total education, AfDB to Djibouti (USD million)"
5.1.4_ETH.TOTA.AID.DVV,"International aid disbursed to total education, DVV international to Ethiopia (USD million)"
5.1.4_GHA.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Djibouti (USD million)"
5.1.4_GIN.TOTA.AID.ADPP.GPE,"International aid disbursed to total education, Global Partnership for Education to Guinea (USD million)"
5.1.4_GNB.TOTA.AID.EU,"International aid disbursed to total education, European Commission to Guinea Bissau (USD million)"
5.1.4_KGZ.TOTA.AID.ADPP.WB,"International aid disbursed to total education, World Bank to Kyrgyzstan (USD million)"
5.1.4_KHM.TOTA.AID.EC,"International aid disbursed to total education, European Commission to Cambodia (USD million)"
5.1.4_LAO.TOTA.AID.DEU,"International aid disbursed to total education, Germany (GIZ and KfW) to Laos (USD million)"
5.1.4_MOZ.TOTA.AID.FIN,"International aid disbursed to total education, Finland to Mozambique (USD million)"
5.1.4_MWI.TOTA.AID.GIZ,"International aid disbursed to total education, GIZ to Malawi (USD million)"
5.1.4_NER.TOTA.AID.JAPAN,"International aid disbursed to total education, Japan to Niger (USD million)"
5.1.4_RWA.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Rwanda (USD million)"
5.1.4_SEN.TOTA.AID.IT,"International aid disbursed to total education, Italy to Senegal (USD million)"
5.1.4_SLE.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Sierra Leone (USD million)"
5.1.5_BFA.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Burkina Faso (USD million)"
5.1.5_CMR.TOTA.AID.UNESCO,"International aid disbursed to total education, UNESCO to Cameroun (USD million)"
5.1.5_DJI.TOTA.AID.ISDB,"International aid disbursed to total education, IsDB to Djibouti (USD million)"
5.1.5_ETH.TOTA.AID.EC,"International aid disbursed to total education, European Commission to Ethiopia (USD million)"
5.1.5_GHA.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Djibouti (USD million)"
5.1.5_GIN.TOTA.AID.ADPP.GIZ,"International aid disbursed to total education, GIZ to Guinea (USD million)"
5.1.5_GNB.TOTA.AID.FR,"International aid disbursed to total education, AFD and French Embassy to Guinea Bissau (USD million)"
5.1.5_KHM.TOTA.AID.JPN,"International aid disbursed to total education, Japan to Cambodia (USD million)"
5.1.5_LAO.TOTA.AID.GPE,"International aid disbursed to total education, Global Partnership for Education to Laos (USD million)"
5.1.5_MDG.TOTA.AID.NOR,International aid to total education executed by Norway in Madagascar (USD million)
5.1.5_MOZ.TOTA.AID.FLAND,"International aid disbursed to total education, Flanders to Mozambique (USD million)"
5.1.5_MWI.TOTA.AID.GPE,"International aid disbursed to total education, Global Partnership for Education to Malawi (USD million)"
5.1.5_NER.TOTA.AID.KFW,"International aid disbursed to total education, KfW to Niger (USD million)"
5.1.5_RWA.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Rwanda (USD million)"
5.1.5_SEN.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Senegal (USD million)"
5.1.5_SLE.TOTA.AID.SIDA,"International aid disbursed to total education, Sida to Sierra Leone (USD million)"
5.1.5_ZMB.TOTA.AID.ZMB,"International aid disbursed to total education, Netherlands to Zambia (USD million)"
5.1.6_AFG.TOTA.AID.JPN,"International aid disbursed to total education, Japan's MoFA to Afghanistan (USD million)"
5.1.6_BFA.TOTA.AID.NLD,"International aid disbursed to total education, Netherlands to Burkina Faso (USD million)"
5.1.6_CMR.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Cameroun (USD million)"
5.1.6_ETH.TOTA.AID.FIN,"International aid disbursed to total education, Finland to Ethiopia (USD million)"
5.1.6_GHA.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Djibouti (USD million)"
5.1.6_GIN.TOTA.AID.ADPP.KFW,"International aid disbursed to total education, KfW to Guinea (USD million)"
5.1.6_GNB.TOTA.AID.PORT,"International aid disbursed to total education, Portuguese Cooperation to Guinea Bissau (USD million)"
5.1.6_KHM.TOTA.AID.SWE,"International aid disbursed to total education, Sweden to Cambodia (USD million)"
5.1.6_LAO.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Laos (USD million)"
5.1.6_MDG.TOTA.AID.WFP,International aid to total education executed by WFP in Madagascar (USD million)
5.1.6_MOZ.TOTA.AID.DEU,"International aid disbursed to total education, Germany (GIZ and KfW) to Mozambique (USD million)"
5.1.6_MWI.TOTA.AID.JICA,"International aid disbursed to total education, JICA to Malawi (USD million)"
5.1.6_NER.TOTA.AID.WFP,"International aid disbursed to total education, WFP to Niger (USD million)"
5.1.6_SEN.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Senegal (USD million)"
5.1.6_SLE.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Sierra Leone (USD million)"
5.1.6_TJK.TOTA.AID.GPE,"International aid disbursed to total education, Global Partnership for Education (CF and EPDF) to Tajikistan (USD million)"
5.1.6_ZMB.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Zambia (USD million)"
5.1.7_BFA.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Burkina Faso (USD million)"
5.1.7_CIV.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Côte d'Ivoire (USD million)"
5.1.7_ETH.TOTA.AID.GIZ,"International aid disbursed to total education, GIZ/BMZ to Ethiopia (USD million)"
5.1.7_GHA.TOTA.AID.WB,"International aid disbursed to total education, World Bank to Djibouti (USD million)"
5.1.7_GNB.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF (excluding Japan funds) to Guinea Bissau (USD million)"
5.1.7_KHM.TOTA.AID.UNESCO,"International aid disbursed to total education, UNESCO to Cambodia (USD million)"
5.1.7_LAO.TOTA.AID.UNESCO,"International aid disbursed to total education, UNESCO to Laos (USD million)"
5.1.7_MOZ.TOTA.AID.GPE,"International aid disbursed to total education, GPE to Mozambique (USD million)"
5.1.7_MWI.TOTA.AID.KFW,"International aid disbursed to total education, KfW to Malawi (USD million)"
5.1.7_SLE.TOTA.AID.WB,"International aid disbursed to total education, World Bank (including the Global Partnership for Education) to Sierra Leone (USD million)"
5.1.7_TJK.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Tajikistan (USD million)"
5.1.7_VNM.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Vietnam (USD million)"
5.1.7_ZMB.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Zambia (USD million)"
5.1.8_AFG.TOTA.AID.NLD,"International aid disbursed to total education, Netherlands to Afghanistan (USD million)"
5.1.8_BFA.TOTA.AID.EC,"International aid disbursed to total education, European Commission to Burkina Faso (USD million)"
5.1.8_CIV.TOTA.AID.USAID,"International aid disbursed to total education, USAID to Côte d'Ivoire (USD million)"
5.1.8_ETH.TOTA.AID.GPE,"International aid disbursed to total education, GPE Catalytic Fund to Ethiopia (USD million)"
5.1.8_GNB.TOTA.AID.JAP,"International aid disbursed to total education, Japan (via UNICEF) to Guinea Bissau (USD million)"
5.1.8_KHM.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Cambodia (USD million)"
5.1.8_LAO.TOTA.AID.UNICEF,"International aid disbursed to total education, UNICEF to Laos (USD million)"
