"identifier","title","topic"
"SP.POP.1216.MA.UN","Population, aged 12-16, male","Education"
"SP.POP.1216.TO.UN","Population, aged 12-16, total","Education"
"SP.POP.1217.FE.UN","Population, aged 12-17, female","Education"
"SP.POP.1217.MA.UN","Population, aged 12-17, male","Education"
"SP.POP.1217.TO.UN","Population, aged 12-17, total","Education"
"SP.POP.1218.FE.UN","Population, aged 12-18, female","Education"
"SP.POP.1218.MA.UN","Population, aged 12-18, male","Education"
"SP.POP.1218.TO.UN","Population, aged 12-18, total","Education"
"SP.POP.1316.FE.UN","Population, aged 13-16, female","Education"
"SP.POP.1316.MA.UN","Population, aged 13-16, male","Education"
"SP.POP.1316.TO.UN","Population, aged 13-16, total","Education"
"SP.POP.1317.FE.UN","Population, aged 13-17, female","Education"
"SP.POP.1317.MA.UN","Population, aged 13-17, male","Education"
"SP.POP.1317.TO.UN","Population, aged 13-17, total","Education"
"SP.POP.1318.FE.UN","Population, aged 13-18, female","Education"
"SP.POP.1318.MA.UN","Population, aged 13-18, male","Education"
"SP.POP.1318.TO.UN","Population, aged 13-18, total","Education"
"SP.POP.1319.FE.UN","Population, aged 13-19, female","Education"
"SP.POP.1319.MA.UN","Population, aged 13-19, male","Education"
"SP.POP.1319.TO.UN","Population, aged 13-19, total","Education"
"SP.POP.1418.FE.UN","Population, aged 14-18, female","Education"
"SP.POP.1418.MA.UN","Population, aged 14-18, male","Education"
"SP.POP.1418.TO.UN","Population, aged 14-18, total","Education"
"SP.POP.1419.FE.UN","Population, aged 14-19, female","Education"
"SP.POP.1419.MA.UN","Population, aged 14-19, male","Education"
"SP.POP.1419.TO.UN","Population, aged 14-19, total","Education"
"SP.POP.1524.FE.UN","Population, aged 15-24, female","Education"
"SP.POP.1524.MA.UN","Population, aged 15-24, male","Education"
"SP.POP.1524.TO.UN","Population, aged 15-24, total","Education"
"SP.POP.AG00.FE.UN","Population, aged 0, female","Education"
"SP.POP.AG00.MA.UN","Population, aged 0, male","Education"
"SP.POP.AG00.TO.UN","Population, aged 0, total","Education"
"SP.POP.AG01.FE.UN","Population, aged 1, female","Education"
"SP.POP.AG01.MA.UN","Population, aged 1, male","Education"
"SP.POP.AG01.TO.UN","Population, aged 1, total","Education"
"SP.POP.AG02.FE.UN","Population, aged 2, female","Education"
"SP.POP.AG02.MA.UN","Population, aged 2, male","Education"
"SP.POP.AG02.TO.UN","Population, aged 2, total","Education"
"SP.POP.AG03.FE.UN","Population, aged 3, female","Education"
"SP.POP.AG03.MA.UN","Population, aged 3, male","Education"
"SP.POP.AG03.TO.UN","Population, aged 3, total","Education"
"SP.POP.AG04.FE.UN","Population, aged 4, female","Education"
"SP.POP.AG04.MA.UN","Population, aged 4, male","Education"
"SP.POP.AG04.TO.UN","Population, aged 4, total","Education"
"SP.POP.AG05.FE.UN","Population, aged 5, female","Education"
"SP.POP.AG05.MA.UN","Population, aged 5, male","Education"
"SP.POP.AG05.TO.UN","Population, aged 5, total","Education"
"SP.POP.AG06.FE.UN","Population, aged 6, female","Education"
"SP.POP.AG06.MA.UN","Population, aged 6, male","Education"
"SP.POP.AG06.TO.UN","Population, aged 6, total","Education"
"SP.POP.AG07.FE.UN","Population, aged 7, female","Education"
"SP.POP.AG07.MA.UN","Population, aged 7, male","Education"
"SP.POP.AG07.TO.UN","Population, aged 7, total","Education"
"SP.POP.AG08.FE.UN","Population, aged 8, female","Education"
"SP.POP.AG08.MA.UN","Population, aged 8, male","Education"
"SP.POP.AG08.TO.UN","Population, aged 8, total","Education"
"SP.POP.AG09.FE.UN","Population, aged 9, female","Education"
"SP.POP.AG09.MA.UN","Population, aged 9, male","Education"
"SP.POP.AG09.TO.UN","Population, aged 9, total","Education"
"SP.POP.AG10.FE.UN","Population, aged 10, female","Education"
"SP.POP.AG10.MA.UN","Population, aged 10, male","Education"
"SP.POP.AG10.TO.UN","Population, aged 10, total","Education"
"SP.POP.AG11.FE.UN","Population, aged 11, female","Education"
"SP.POP.AG11.MA.UN","Population, aged 11, male","Education"
"SP.POP.AG11.TO.UN","Population, aged 11, total","Education"
"SP.POP.AG12.FE.UN","Population, aged 12, female","Education"
"SP.POP.AG12.MA.UN","Population, aged 12, male","Education"
"SP.POP.AG12.TO.UN","Population, aged 12, total","Education"
"SP.POP.AG13.FE.UN","Population, aged 13, female","Education"
"SP.POP.AG13.MA.UN","Population, aged 13, male","Education"
"SP.POP.AG13.TO.UN","Population, aged 13, total","Education"
"SP.POP.AG14.FE.UN","Population, aged 14, female","Education"
"SP.POP.AG14.MA.UN","Population, aged 14, male","Education"
"SP.POP.AG14.TO.UN","Population, aged 14, total","Education"
"SP.POP.AG15.FE.UN","Population, aged 15, female","Education"
"SP.POP.AG15.MA.UN","Population, aged 15, male","Education"
"SP.POP.AG15.TO.UN","Population, aged 15, total","Education"
"SP.POP.AG16.FE.UN","Population, aged 16, female","Education"
"SP.POP.AG16.MA.UN","Population, aged 16, male","Education"
"SP.POP.AG16.TO.UN","Population, aged 16, total","Education"
"SP.POP.AG17.FE.UN","Population, aged 17, female","Education"
"SP.POP.AG17.MA.UN","Population, aged 17, male","Education"
"SP.POP.AG17.TO.UN","Population, aged 17, total","Education"
"SP.POP.AG18.FE.UN","Population, aged 18, female","Education"
"SP.POP.AG18.MA.UN","Population, aged 18, male","Education"
"SP.POP.AG18.TO.UN","Population, aged 18, total","Education"
"SP.POP.AG19.FE.UN","Population, aged 19, female","Education"
"SP.POP.AG19.MA.UN","Population, aged 19, male","Education"
"SP.POP.AG19.TO.UN","Population, aged 19, total","Education"
"SP.POP.AG20.FE.UN","Population, aged 20, female","Education"
"SP.POP.AG20.MA.UN","Population, aged 20, male","Education"
"SP.POP.AG20.TO.UN","Population, aged 20, total","Education"
"SP.POP.AG21.FE.UN","Population, aged 21, female","Education"
"SP.POP.AG21.MA.UN","Population, aged 21, male","Education"
"SP.POP.AG21.TO.UN","Population, aged 21, total","Education"
"SP.POP.AG22.FE.UN","Population, aged 22, female","Education"
"SP.POP.AG22.MA.UN","Population, aged 22, male","Education"
"SP.POP.AG22.TO.UN","Population, aged 22, total","Education"
"SP.POP.AG23.FE.UN","Population, aged 23, female","Education"
"SP.POP.AG23.MA.UN","Population, aged 23, male","Education"
"SP.POP.AG23.TO.UN","Population, aged 23, total","Education"
"SP.POP.AG24.FE.UN","Population, aged 24, female","Education"
"SP.POP.AG24.MA.UN","Population, aged 24, male","Education"
"SP.POP.AG24.TO.UN","Population, aged 24, total","Education"
"SP.POP.AG25.FE.UN","Population, aged 25, female","Education"
"SP.POP.AG25.MA.UN","Population, aged 25, male","Education"
"SP.POP.AG25.TO.UN","Population, aged 25, total","Education"
"SP.PRE.TOTL.FE.IN","Population, pre-primary, female","Education"
"SP.PRE.TOTL.IN","Population, pre-primary, total","Education"
"SP.PRE.TOTL.MA.IN","Population, pre-primary, male","Education"
"SP.PRM.GRAD.FE","School age population. Primary. Last Grade. Female","Education"
"SP.PRM.GRAD.MA","School age population. Primary. Last Grade. Male","Education"
"SP.PRM.GRAD.TO","School age population. Primary. Last Grade. Total","Education"
"SP.PRM.TOTL.FE.IN","Population, primary, female","Education"
"SP.PRM.TOTL.IN","Population, primary, total","Education"
"SP.PRM.TOTL.MA.IN","Population, primary, male","Education"
"SP.SEC.LTOT.FE.IN","Population, low secondary, female","Education"
"SP.SEC.LTOT.IN","Population, low secondary, total","Education"
"SP.SEC.LTOT.MA.IN","Population, low secondary, male","Education"
"SP.SEC.TOTL.FE.IN","Population, secondary, female","Education"
"SP.SEC.TOTL.IN","Population, secondary, total","Education"
"SP.SEC.TOTL.MA.IN","Population, secondary, male","Education"
"SP.SEC.UTOT.FE.IN","Population, upper secondary, female","Education"
"SP.SEC.UTOT.IN","Population, upper secondary, total","Education"
"SP.SEC.UTOT.MA.IN","Population, upper secondary, male","Education"
"SP.TER.TOTL.FE.IN","Population, tertiary, female","Education"
"SP.TER.TOTL.IN","Population, tertiary, total","Education"
"SP.TER.TOTL.MA.IN","Population, tertiary, male","Education"
"UIS.AY.EM","Ending month of the academic year (Questionnaire A)","Education"
"UIS.AY.SM","Starting month of the academic year (Questionnaire A)","Education"
"UIS.AY.SY","Starting year of the academic year (Questionnaire A)","Education"
"UIS.CEAGEE.1","Ending age of compulsory education","Education"
"UIS.GAP.1","Graduation age population. Primary. Total","Education"
"UIS.GAP.1.F","Graduation age population. Primary. Female","Education"
"UIS.GAP.1.M","Graduation age population. Primary. Male","Education"
"UIS.OAPP.1","Over-age enrolment ratio. Primary. Total","Education"
"UIS.OAPP.1.F","Over-age enrolment ratio. Primary. Female","Education"
"UIS.OAPP.1.M","Over-age enrolment ratio. Primary. Male","Education"
"UIS.SAP.1.G1","School age population. Official entrance age. Total","Education"
"UIS.SAP.1.G1.F","School age population. Official entrance age. Female","Education"
"UIS.SAP.1.G1.M","School age population. Official entrance age. Male","Education"
"UIS.SAP.4","School age population. Post-secondary. Total","Education"
"UIS.SAP.4.F","School age population. Post-secondary. Female","Education"
"UIS.SAP.4.M","School age population. Post-secondary. Male","Education"
