"identifier","title","topic"
"BAR.PRM.ICMP.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.4549.ZS","Barro-Lee: Percentage of population age 45-49 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.5054.ZS","Barro-Lee: Percentage of population age 50-54 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.5559.ZS","Barro-Lee: Percentage of population age 55-59 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.6064.ZS","Barro-Lee: Percentage of population age 60-64 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.6569.ZS","Barro-Lee: Percentage of population age 65-69 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.7074.ZS","Barro-Lee: Percentage of population age 70-74 with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.ICMP.75UP.ZS","Barro-Lee: Percentage of population age 75+ with primary schooling. Total (Incomplete and Completed Primary)","Education"
"BAR.PRM.SCHL.1519","average years of primary schooling, 15-19, total","Education"
"BAR.PRM.SCHL.1519.FE","average years of primary schooling, 15-19, female","Education"
"BAR.PRM.SCHL.15UP","average years of primary schooling, 15+, total","Education"
"BAR.PRM.SCHL.15UP.FE","average years of primary schooling, 15+, female","Education"
"BAR.PRM.SCHL.2024","average years of primary schooling, 20-24, total","Education"
"BAR.PRM.SCHL.2024.FE","average years of primary schooling, 20-24, female","Education"
"BAR.PRM.SCHL.2529","average years of primary schooling, 25-29, total","Education"
"BAR.PRM.SCHL.2529.FE","average years of primary schooling, 25-29, female","Education"
"BAR.PRM.SCHL.25UP","average years of primary schooling, 25+, total","Education"
"BAR.PRM.SCHL.25UP.FE","average years of primary schooling, 25+, female","Education"
"BAR.PRM.SCHL.3034","average years of primary schooling, 30-34, total","Education"
"BAR.PRM.SCHL.3034.FE","average years of primary schooling, 30-34, female","Education"
"BAR.PRM.SCHL.3539","average years of primary schooling, 35-39, total","Education"
"BAR.PRM.SCHL.3539.FE","average years of primary schooling, 35-39, female","Education"
"BAR.PRM.SCHL.4044","average years of primary schooling, 40-44, total","Education"
"BAR.PRM.SCHL.4044.FE","average years of primary schooling, 40-44, female","Education"
"BAR.PRM.SCHL.4549","average years of primary schooling, 45-49, total","Education"
"BAR.PRM.SCHL.4549.FE","average years of primary schooling, 45-49, female","Education"
"BAR.PRM.SCHL.5054","average years of primary schooling, 50-54, total","Education"
"BAR.PRM.SCHL.5054.FE","average years of primary schooling, 50-54, female","Education"
"BAR.PRM.SCHL.5559","average years of primary schooling, 55-59, total","Education"
"BAR.PRM.SCHL.5559.FE","average years of primary schooling, 55-59, female","Education"
"BAR.PRM.SCHL.6064","average years of primary schooling, 60-64, total","Education"
"BAR.PRM.SCHL.6064.FE","average years of primary schooling, 60-64, female","Education"
"BAR.PRM.SCHL.6569","average years of primary schooling, 65-69, total","Education"
"BAR.PRM.SCHL.6569.FE","average years of primary schooling, 65-69, female","Education"
"BAR.PRM.SCHL.7074","average years of primary schooling, 70-74, total","Education"
"BAR.PRM.SCHL.7074.FE","average years of primary schooling, 70-74, female","Education"
"BAR.PRM.SCHL.75UP","average years of primary schooling, 75+, total","Education"
"BAR.PRM.SCHL.75UP.FE","average years of primary schooling, 75+, female","Education"
"BAR.SCHL.1519","average years of total schooling, 15-19, total","Education"
"BAR.SCHL.1519.FE","average years of total schooling, 15-19, female","Education"
"BAR.SCHL.15UP","average years of total schooling, 15+, total","Education"
"BAR.SCHL.15UP.FE","average years of total schooling, 15+, female","Education"
"BAR.SCHL.2024","average years of total schooling, 20-24, total","Education"
"BAR.SCHL.2024.FE","average years of total schooling, 20-24, female","Education"
"BAR.SCHL.2529","average years of total schooling, 25-29, total","Education"
"BAR.SCHL.2529.FE","average years of total schooling, 25-29, female","Education"
"BAR.SCHL.25UP","average years of total schooling, 25+, total","Education"
"BAR.SCHL.25UP.FE","average years of total schooling, 25+, female","Education"
"BAR.SCHL.3034","average years of total schooling, 30-34, total","Education"
"BAR.SCHL.3034.FE","average years of total schooling, 30-34, female","Education"
"BAR.SCHL.3539","average years of total schooling, 35-39, total","Education"
"BAR.SCHL.3539.FE","average years of total schooling, 35-39, female","Education"
"BAR.SCHL.4044","average years of total schooling, 40-44, total","Education"
"BAR.SCHL.4044.FE","average years of total schooling, 40-44, female","Education"
"BAR.SCHL.4549","average years of total schooling, 45-49, total","Education"
"BAR.SCHL.4549.FE","average years of total schooling, 45-49, female","Education"
"BAR.SCHL.5054","average years of total schooling, 50-54, total","Education"
"BAR.SCHL.5054.FE","average years of total schooling, 50-54, female","Education"
"BAR.SCHL.5559","average years of total schooling, 55-59, total","Education"
"BAR.SCHL.5559.FE","average years of total schooling, 55-59, female","Education"
"BAR.SCHL.6064","average years of total schooling, 60-64, total","Education"
"BAR.SCHL.6064.FE","average years of total schooling, 60-64, female","Education"
"BAR.SCHL.6569","average years of total schooling, 65-69, total","Education"
"BAR.SCHL.6569.FE","average years of total schooling, 65-69, female","Education"
"BAR.SCHL.7074","average years of total schooling, 70-74, total","Education"
"BAR.SCHL.7074.FE","average years of total schooling, 70-74, female","Education"
"BAR.SCHL.75UP","average years of total schooling, 75+, total","Education"
"BAR.SCHL.75UP.FE","average years of total schooling, 75+, female","Education"
"BAR.SEC.CMPT.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.1519.ZS","Barro-Lee: Percentage of population age 15-19 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.15UP.ZS","Barro-Lee: Percentage of population age 15+ with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.2024.ZS","Barro-Lee: Percentage of population age 20-24 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.2529.ZS","Barro-Lee: Percentage of population age 25-29 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.25UP.ZS","Barro-Lee: Percentage of population age 25+ with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.3034.ZS","Barro-Lee: Percentage of population age 30-34 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.3539.ZS","Barro-Lee: Percentage of population age 35-39 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.4044.ZS","Barro-Lee: Percentage of population age 40-44 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.4549.ZS","Barro-Lee: Percentage of population age 45-49 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.5054.ZS","Barro-Lee: Percentage of population age 50-54 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.5559.ZS","Barro-Lee: Percentage of population age 55-59 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.6064.ZS","Barro-Lee: Percentage of population age 60-64 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.6569.ZS","Barro-Lee: Percentage of population age 65-69 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.7074.ZS","Barro-Lee: Percentage of population age 70-74 with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with secondary schooling. Completed Secondary","Education"
"BAR.SEC.CMPT.75UP.ZS","Barro-Lee: Percentage of population age 75+ with secondary schooling. Completed Secondary","Education"
"BAR.SEC.ICMP.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.1519.ZS","Barro-Lee: Percentage of population age 15-19 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.15UP.FE.ZS","Barro-Lee: Percentage of female population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.15UP.ZS","Barro-Lee: Percentage of population age 15+ with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.2024.FE.ZS","Barro-Lee: Percentage of female population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.2024.ZS","Barro-Lee: Percentage of population age 20-24 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.2529.FE.ZS","Barro-Lee: Percentage of female population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.2529.ZS","Barro-Lee: Percentage of population age 25-29 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.25UP.FE.ZS","Barro-Lee: Percentage of female population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.25UP.ZS","Barro-Lee: Percentage of population age 25+ with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.3034.FE.ZS","Barro-Lee: Percentage of female population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.3034.ZS","Barro-Lee: Percentage of population age 30-34 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.3539.FE.ZS","Barro-Lee: Percentage of female population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.3539.ZS","Barro-Lee: Percentage of population age 35-39 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.4044.FE.ZS","Barro-Lee: Percentage of female population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.4044.ZS","Barro-Lee: Percentage of population age 40-44 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.4549.FE.ZS","Barro-Lee: Percentage of female population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.4549.ZS","Barro-Lee: Percentage of population age 45-49 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.5054.FE.ZS","Barro-Lee: Percentage of female population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.5054.ZS","Barro-Lee: Percentage of population age 50-54 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.5559.FE.ZS","Barro-Lee: Percentage of female population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.5559.ZS","Barro-Lee: Percentage of population age 55-59 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.6064.FE.ZS","Barro-Lee: Percentage of female population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.6064.ZS","Barro-Lee: Percentage of population age 60-64 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.6569.FE.ZS","Barro-Lee: Percentage of female population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.6569.ZS","Barro-Lee: Percentage of population age 65-69 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.7074.FE.ZS","Barro-Lee: Percentage of female population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.7074.ZS","Barro-Lee: Percentage of population age 70-74 with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.75UP.FE.ZS","Barro-Lee: Percentage of female population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.ICMP.75UP.ZS","Barro-Lee: Percentage of population age 75+ with secondary schooling. Total (Incomplete and Completed Secondary)","Education"
"BAR.SEC.SCHL.1519","average years of secondary schooling, 15-19, total","Education"
"BAR.SEC.SCHL.1519.FE","average years of secondary schooling, 15-19, female","Education"
"BAR.SEC.SCHL.15UP","average years of secondary schooling, 15+, total","Education"
"BAR.SEC.SCHL.15UP.FE","average years of secondary schooling, 15+, female","Education"
"BAR.SEC.SCHL.2024","average years of secondary schooling, 20-24, total","Education"
"BAR.SEC.SCHL.2024.FE","average years of secondary schooling, 20-24, female","Education"
"BAR.SEC.SCHL.2529","average years of secondary schooling, 25-29, total","Education"
"BAR.SEC.SCHL.2529.FE","average years of secondary schooling, 25-29, female","Education"
"BAR.SEC.SCHL.25UP","average years of secondary schooling, 25+, total","Education"
"BAR.SEC.SCHL.25UP.FE","average years of secondary schooling, 25+, female","Education"
"BAR.SEC.SCHL.3034","average years of secondary schooling, 30-34, total","Education"
"BAR.SEC.SCHL.3034.FE","average years of secondary schooling, 30-34, female","Education"
"BAR.SEC.SCHL.3539","average years of secondary schooling, 35-39, total","Education"
"BAR.SEC.SCHL.3539.FE","average years of secondary schooling, 35-39, female","Education"
"BAR.SEC.SCHL.4044","average years of secondary schooling, 40-44, total","Education"
"BAR.SEC.SCHL.4044.FE","average years of secondary schooling, 40-44, female","Education"
"BAR.SEC.SCHL.4549","average years of secondary schooling, 45-49, total","Education"
"BAR.SEC.SCHL.4549.FE","average years of secondary schooling, 45-49, female","Education"
"BAR.SEC.SCHL.5054","average years of secondary schooling, 50-54, total","Education"
"BAR.SEC.SCHL.5054.FE","average years of secondary schooling, 50-54, female","Education"
"BAR.SEC.SCHL.5559","average years of secondary schooling, 55-59, total","Education"
"BAR.SEC.SCHL.5559.FE","average years of secondary schooling, 55-59, female","Education"
"BAR.SEC.SCHL.6064","average years of secondary schooling, 60-64, total","Education"
"BAR.SEC.SCHL.6064.FE","average years of secondary schooling, 60-64, female","Education"
"BAR.SEC.SCHL.6569","average years of secondary schooling, 65-69, total","Education"
"BAR.SEC.SCHL.6569.FE","average years of secondary schooling, 65-69, female","Education"
"BAR.SEC.SCHL.7074","average years of secondary schooling, 70-74, total","Education"
"BAR.SEC.SCHL.7074.FE","average years of secondary schooling, 70-74, female","Education"
"BAR.SEC.SCHL.75UP","average years of secondary schooling, 75+, total","Education"
"BAR.SEC.SCHL.75UP.FE","average years of secondary schooling, 75+, female","Education"
"BAR.TER.CMPT.1519.FE.ZS","Barro-Lee: Percentage of female population age 15-19 with tertiary schooling. Completed Tertiary","Education"
"BAR.TER.CMPT.1519.ZS","Barro-Lee: Percentage of population age 15-19 with tertiary schooling. Completed Tertiary","Education"
