"identifier","title","topic"
"SE.TER.GRAD.FE.AG.ZS","Female share of graduates in agriculture (%, tertiary)","Education"
"SE.TER.GRAD.FE.ED.ZS","Female share of graduates in education (%, tertiary)","Education"
"SE.TER.GRAD.FE.EN.ZS","Female share of graduates in engineering, manufacturing and construction (%, tertiary)","Education"
"SE.TER.GRAD.FE.HL.ZS","Female share of graduates in health (%, tertiary)","Education"
"SE.TER.GRAD.FE.HU.ZS","Female share of graduates in humanities and arts (%, tertiary)","Education"
"SE.TER.GRAD.FE.SC.ZS","Female share of graduates in science (%, tertiary)","Education"
"SE.TER.GRAD.FE.SS.ZS","Female share of graduates in social science, business and law (%, tertiary)","Education"
"SE.TER.GRAD.FE.SV.ZS","Female share of graduates in services (%, tertiary)","Education"
"SE.TER.GRAD.FE.ZS","Girls graduates share (%), tertiary","Education"
"SE.TER.GRAD.HL.FE.ZS","Graduates in health, female (% of total female graduates, tertiary)","Education"
"SE.TER.GRAD.HL.ZS","Graduates in health (% of total graduates, tertiary)","Education"
"SE.TER.GRAD.HU.FE.ZS","Graduates in humanities and arts, female (% of total female graduates, tertiary)","Education"
"SE.TER.GRAD.HU.ZS","Graduates in humanities and arts (% of total graduates, tertiary)","Education"
"SE.TER.GRAD.OT.FE.ZS","Graduates in unknown or unspecified fields, female (% of total female graduates, tertiary)","Education"
"SE.TER.GRAD.OT.ZS","Graduates in unknown or unspecified fields (% of total graduates, tertiary)","Education"
"SE.TER.GRAD.SC.FE.ZS","Graduates in science, female (% of total female graduates, tertiary)","Education"
"SE.TER.GRAD.SC.ZS","Graduates in science (% of total graduates, tertiary)","Education"
"SE.TER.GRAD.SS.FE.ZS","Graduates in social science, business, law, female (% of total female graduates, tertiary)","Education"
"SE.TER.GRAD.SS.ZS","Graduates in social science, business, law (% of total graduates, tertiary)","Education"
"SE.TER.GRAD.SV.FE.ZS","Graduates in services, female (% of total female graduates, tertiary)","Education"
"SE.TER.GRAD.SV.ZS","Graduates in services (% of total graduates, tertiary)","Education"
"SE.TER.PRIV.ZS","Private enrollment share (%), tertiary","Education"
"SE.TER.TCHR","Tertiary education, teachers","Education"
"SE.TER.TCHR.FE","Teaching staff in total tertiary. Public and private. Full and part-time. All programmes. Female","Education"
"SE.TER.TCHR.FE.ZS","Tertiary education, teachers (% female)","Education"
"SE.TOT.ENRR","Gross enrolment ratio. All levels combined (except pre-primary). Total","Education"
"SH.DYN.AIDS.ZS","Prevalence of HIV, total (% of population ages 15-49)","Education"
"SH.DYN.MORT","Mortality rate, under-5 (per 1,000 live births)","Education"
"SL.TLF.TOTL.FE.ZS","Labor force, female (% of total labor force)","Education"
"SL.TLF.TOTL.IN","Labor force, total","Education"
"SL.UEM.TOTL.FE.ZS","Unemployment, female (% of female labor force) (modeled ILO estimate)","Education"
"SL.UEM.TOTL.MA.ZS","Unemployment, male (% of male labor force) (modeled ILO estimate)","Education"
"SL.UEM.TOTL.ZS","Unemployment, total (% of total labor force) (modeled ILO estimate)","Education"
"SP.POP.0014.TO.ZS","Population ages 0-14 (% of total)","Education"
"SP.POP.0305.FE.UN","Population, aged 3- 5, female","Education"
"SP.POP.0305.MA.UN","Population, aged 3- 5, male","Education"
"SP.POP.0305.TO.UN","Population, aged 3- 5, total","Education"
"SP.POP.0406.FE.UN","Population, aged 4- 6, female","Education"
"SP.POP.0406.MA.UN","Population, aged 4- 6, male","Education"
"SP.POP.0406.TO.UN","Population, aged 4- 6, total","Education"
"SP.POP.0509.FE.UN","Population, aged 5- 9, female","Education"
"SP.POP.0509.MA.UN","Population, aged 5- 9, male","Education"
"SP.POP.0509.TO.UN","Population, aged 5- 9, total","Education"
"SP.POP.0510.FE.UN","Population, aged 5-10, female","Education"
"SP.POP.0510.MA.UN","Population, aged 5-10, male","Education"
"SP.POP.0510.TO.UN","Population, aged 5-10, total","Education"
"SP.POP.0511.FE.UN","Population, aged 5-11, female","Education"
"SP.POP.0511.MA.UN","Population, aged 5-11, male","Education"
"SP.POP.0511.TO.UN","Population, aged 5-11, total","Education"
"SP.POP.0609.FE.UN","Population, aged 6- 9,female","Education"
"SP.POP.0609.MA.UN","Population, aged 6- 9, male","Education"
"SP.POP.0609.TO.UN","Population, aged 6- 9, total","Education"
"SP.POP.0610.FE.UN","Population, aged 6-10, female","Education"
"SP.POP.0610.MA.UN","Population, aged 6-10, male","Education"
"SP.POP.0610.TO.UN","Population, aged 6-10, total","Education"
"SP.POP.0611.FE.UN","Population, aged 6-11, female","Education"
"SP.POP.0611.MA.UN","Population, aged 6-11, male","Education"
"SP.POP.0611.TO.UN","Population, aged 6-11, total","Education"
"SP.POP.0612.FE.UN","Population, aged 6-12, female","Education"
"SP.POP.0612.MA.UN","Population, aged 6-12, male","Education"
"SP.POP.0612.TO.UN","Population, aged 6-12, total","Education"
"SP.POP.0709.FE.UN","Population, aged 7- 9, female","Education"
"SP.POP.0709.MA.UN","Population, aged 7- 9, male","Education"
"SP.POP.0709.TO.UN","Population, aged 7- 9, total","Education"
"SP.POP.0710.FE.UN","Population, aged 7-10, female","Education"
"SP.POP.0710.MA.UN","Population, aged 7-10, male","Education"
"SP.POP.0710.TO.UN","Population, aged 7-10, total","Education"
"SP.POP.0711.FE.UN","Population, aged 7-11, female","Education"
"SP.POP.0711.MA.UN","Population, aged 7-11, male","Education"
"SP.POP.0711.TO.UN","Population, aged 7-11, total","Education"
"SP.POP.0712.FE.UN","Population, aged 7-12, female","Education"
"SP.POP.0712.MA.UN","Population, aged 7-12, male","Education"
"SP.POP.0712.TO.UN","Population, aged 7-12, total","Education"
"SP.POP.0713.FE.UN","Population, aged 7-13, female","Education"
"SP.POP.0713.MA.UN","Population, aged 7-13, male","Education"
"SP.POP.0713.TO.UN","Population, aged 7-13, total","Education"
"SP.POP.1014.FE.UN","Population, aged 10-14, female","Education"
"SP.POP.1014.MA.UN","Population, aged 10-14, male","Education"
"SP.POP.1014.TO.UN","Population, aged 10-14, total","Education"
"SP.POP.1015.FE.UN","Population, aged 10-15, female","Education"
"SP.POP.1015.MA.UN","Population, aged 10-15, male","Education"
"SP.POP.1015.TO.UN","Population, aged 10-15, total","Education"
"SP.POP.1016.FE.UN","Population, aged 10-16, female","Education"
"SP.POP.1016.MA.UN","Population, aged 10-16, male","Education"
"SP.POP.1016.TO.UN","Population, aged 10-16, total","Education"
"SP.POP.1017.FE.UN","Population, aged 10-17, female","Education"
"SP.POP.1017.MA.UN","Population, aged 10-17, male","Education"
"SP.POP.1017.TO.UN","Population, aged 10-17, total","Education"
"SP.POP.1018.FE.UN","Population, aged 10-18, female","Education"
"SP.POP.1018.MA.UN","Population, aged 10-18, male","Education"
"SP.POP.1018.TO.UN","Population, aged 10-18, total","Education"
"SP.POP.1115.FE.UN","Population, aged 11-15, female","Education"
"SP.POP.1115.MA.UN","Population, aged 11-15, male","Education"
"SP.POP.1115.TO.UN","Population, aged 11-15, total","Education"
"SP.POP.1116.FE.UN","Population, aged 11-16, female","Education"
"SP.POP.1116.MA.UN","Population, aged 11-16, male","Education"
"SP.POP.1116.TO.UN","Population, aged 11-16, total","Education"
"SP.POP.1117.FE.UN","Population, aged 11-17, female","Education"
"SP.POP.1117.MA.UN","Population, aged 11-17, male","Education"
"SP.POP.1117.TO.UN","Population, aged 11-17, total","Education"
"SP.POP.1118.FE.UN","Population, aged 11-18, female","Education"
"SP.POP.1118.MA.UN","Population, aged 11-18, male","Education"
"SP.POP.1118.TO.UN","Population, aged 11-18, total","Education"
"SP.POP.1215.FE.UN","Population, aged 12-15, female","Education"
"SP.POP.1215.MA.UN","Population, aged 12-15, male","Education"
"SP.POP.1215.TO.UN","Population, aged 12-15, total","Education"
"SP.POP.1216.FE.UN","Population, aged 12-16, female","Education"
"SP.POP.1216.MA.UN","Population, aged 12-16, male","Education"
"SP.POP.1216.TO.UN","Population, aged 12-16, total","Education"
"SP.POP.1217.FE.UN","Population, aged 12-17, female","Education"
"SP.POP.1217.MA.UN","Population, aged 12-17, male","Education"
"SP.POP.1217.TO.UN","Population, aged 12-17, total","Education"
"SP.POP.1218.FE.UN","Population, aged 12-18, female","Education"
"SP.POP.1218.MA.UN","Population, aged 12-18, male","Education"
"SP.POP.1218.TO.UN","Population, aged 12-18, total","Education"
"SP.POP.1316.FE.UN","Population, aged 13-16, female","Education"
"SP.POP.1316.MA.UN","Population, aged 13-16, male","Education"
"SP.POP.1316.TO.UN","Population, aged 13-16, total","Education"
"SP.POP.1317.FE.UN","Population, aged 13-17, female","Education"
"SP.POP.1317.MA.UN","Population, aged 13-17, male","Education"
"SP.POP.1317.TO.UN","Population, aged 13-17, total","Education"
"SP.POP.1318.FE.UN","Population, aged 13-18, female","Education"
"SP.POP.1318.MA.UN","Population, aged 13-18, male","Education"
"SP.POP.1318.TO.UN","Population, aged 13-18, total","Education"
"SP.POP.1319.FE.UN","Population, aged 13-19, female","Education"
"SP.POP.1319.MA.UN","Population, aged 13-19, male","Education"
"SP.POP.1319.TO.UN","Population, aged 13-19, total","Education"
"SP.POP.1418.FE.UN","Population, aged 14-18, female","Education"
"SP.POP.1418.MA.UN","Population, aged 14-18, male","Education"
"SP.POP.1418.TO.UN","Population, aged 14-18, total","Education"
"SP.POP.1419.FE.UN","Population, aged 14-19, female","Education"
"SP.POP.1419.MA.UN","Population, aged 14-19, male","Education"
"SP.POP.1419.TO.UN","Population, aged 14-19, total","Education"
"SP.POP.1524.FE.UN","Population, aged 15-24, female","Education"
"SP.POP.1524.MA.UN","Population, aged 15-24, male","Education"
"SP.POP.1524.TO.UN","Population, aged 15-24, total","Education"
"SP.POP.1564.TO.ZS","Population ages 15-64 (% of total)","Education"
"SP.POP.AG00.FE.UN","Population, aged 0, female","Education"
"SP.POP.AG00.MA.UN","Population, aged 0, male","Education"
"SP.POP.AG00.TO.UN","Population, aged 0, total","Education"
"SP.POP.AG01.FE.UN","Population, aged 1, female","Education"
"SP.POP.AG01.MA.UN","Population, aged 1, male","Education"
"SP.POP.AG01.TO.UN","Population, aged 1, total","Education"
"SP.POP.AG02.FE.UN","Population, aged 2, female","Education"
"SP.POP.AG02.MA.UN","Population, aged 2, male","Education"
"SP.POP.AG02.TO.UN","Population, aged 2, total","Education"
"SP.POP.AG03.FE.UN","Population, aged 3, female","Education"
"SP.POP.AG03.MA.UN","Population, aged 3, male","Education"
"SP.POP.AG03.TO.UN","Population, aged 3, total","Education"
"SP.POP.AG04.FE.UN","Population, aged 4, female","Education"
"SP.POP.AG04.MA.UN","Population, aged 4, male","Education"
"SP.POP.AG04.TO.UN","Population, aged 4, total","Education"
"SP.POP.AG05.FE.UN","Population, aged 5, female","Education"
"SP.POP.AG05.MA.UN","Population, aged 5, male","Education"
"SP.POP.AG05.TO.UN","Population, aged 5, total","Education"
"SP.POP.AG06.FE.UN","Population, aged 6, female","Education"
"SP.POP.AG06.MA.UN","Population, aged 6, male","Education"
"SP.POP.AG06.TO.UN","Population, aged 6, total","Education"
"SP.POP.AG07.FE.UN","Population, aged 7, female","Education"
"SP.POP.AG07.MA.UN","Population, aged 7, male","Education"
"SP.POP.AG07.TO.UN","Population, aged 7, total","Education"
"SP.POP.AG08.FE.UN","Population, aged 8, female","Education"
"SP.POP.AG08.MA.UN","Population, aged 8, male","Education"
"SP.POP.AG08.TO.UN","Population, aged 8, total","Education"
"SP.POP.AG09.FE.UN","Population, aged 9, female","Education"
"SP.POP.AG09.MA.UN","Population, aged 9, male","Education"
"SP.POP.AG09.TO.UN","Population, aged 9, total","Education"
"SP.POP.AG10.FE.UN","Population, aged 10, female","Education"
"SP.POP.AG10.MA.UN","Population, aged 10, male","Education"
"SP.POP.AG10.TO.UN","Population, aged 10, total","Education"
"SP.POP.AG11.FE.UN","Population, aged 11, female","Education"
"SP.POP.AG11.MA.UN","Population, aged 11, male","Education"
"SP.POP.AG11.TO.UN","Population, aged 11, total","Education"
"SP.POP.AG12.FE.UN","Population, aged 12, female","Education"
"SP.POP.AG12.MA.UN","Population, aged 12, male","Education"
"SP.POP.AG12.TO.UN","Population, aged 12, total","Education"
"SP.POP.AG13.FE.UN","Population, aged 13, female","Education"
"SP.POP.AG13.MA.UN","Population, aged 13, male","Education"
"SP.POP.AG13.TO.UN","Population, aged 13, total","Education"
"SP.POP.AG14.FE.UN","Population, aged 14, female","Education"
"SP.POP.AG14.MA.UN","Population, aged 14, male","Education"
"SP.POP.AG14.TO.UN","Population, aged 14, total","Education"
"SP.POP.AG15.FE.UN","Population, aged 15, female","Education"
"SP.POP.AG15.MA.UN","Population, aged 15, male","Education"
"SP.POP.AG15.TO.UN","Population, aged 15, total","Education"
"SP.POP.AG16.FE.UN","Population, aged 16, female","Education"
"SP.POP.AG16.MA.UN","Population, aged 16, male","Education"
"SP.POP.AG16.TO.UN","Population, aged 16, total","Education"
"SP.POP.AG17.FE.UN","Population, aged 17, female","Education"
"SP.POP.AG17.MA.UN","Population, aged 17, male","Education"
"SP.POP.AG17.TO.UN","Population, aged 17, total","Education"
"SP.POP.AG18.FE.UN","Population, aged 18, female","Education"
"SP.POP.AG18.MA.UN","Population, aged 18, male","Education"
"SP.POP.AG18.TO.UN","Population, aged 18, total","Education"
"SP.POP.AG19.FE.UN","Population, aged 19, female","Education"
"SP.POP.AG19.MA.UN","Population, aged 19, male","Education"
"SP.POP.AG19.TO.UN","Population, aged 19, total","Education"
"SP.POP.AG20.FE.UN","Population, aged 20, female","Education"
"SP.POP.AG20.MA.UN","Population, aged 20, male","Education"
"SP.POP.AG20.TO.UN","Population, aged 20, total","Education"
"SP.POP.AG21.FE.UN","Population, aged 21, female","Education"
"SP.POP.AG21.MA.UN","Population, aged 21, male","Education"
"SP.POP.AG21.TO.UN","Population, aged 21, total","Education"
"SP.POP.AG22.FE.UN","Population, aged 22, female","Education"
"SP.POP.AG22.MA.UN","Population, aged 22, male","Education"
"SP.POP.AG22.TO.UN","Population, aged 22, total","Education"
"SP.POP.AG23.FE.UN","Population, aged 23, female","Education"
"SP.POP.AG23.MA.UN","Population, aged 23, male","Education"
"SP.POP.AG23.TO.UN","Population, aged 23, total","Education"
"SP.POP.AG24.FE.UN","Population, aged 24, female","Education"
"SP.POP.AG24.MA.UN","Population, aged 24, male","Education"
"SP.POP.AG24.TO.UN","Population, aged 24, total","Education"
"SP.POP.AG25.FE.UN","Population, aged 25, female","Education"
"SP.POP.AG25.MA.UN","Population, aged 25, male","Education"
"SP.POP.AG25.TO.UN","Population, aged 25, total","Education"
"SP.PRE.TOTL.FE.IN","Population, pre-primary, female","Education"
"SP.PRE.TOTL.IN","Population, pre-primary, total","Education"
"SP.PRE.TOTL.MA.IN","Population, pre-primary, male","Education"
"SP.PRM.GRAD.FE","School age population. Primary. Last Grade. Female","Education"
"SP.PRM.GRAD.MA","School age population. Primary. Last Grade. Male","Education"
"SP.PRM.GRAD.TO","School age population. Primary. Last Grade. Total","Education"
"SP.PRM.TOTL.FE.IN","Population, primary, female","Education"
"SP.PRM.TOTL.IN","Population, primary, total","Education"
"SP.PRM.TOTL.MA.IN","Population, primary, male","Education"
"SP.SEC.LTOT.FE.IN","Population, low secondary, female","Education"
"SP.SEC.LTOT.IN","Population, low secondary, total","Education"
"SP.SEC.LTOT.MA.IN","Population, low secondary, male","Education"
"SP.SEC.TOTL.FE.IN","Population, secondary, female","Education"
"SP.SEC.TOTL.IN","Population, secondary, total","Education"
"SP.SEC.TOTL.MA.IN","Population, secondary, male","Education"
"SP.SEC.UTOT.FE.IN","Population, upper secondary, female","Education"
"SP.SEC.UTOT.IN","Population, upper secondary, total","Education"
"SP.SEC.UTOT.MA.IN","Population, upper secondary, male","Education"
"SP.TER.TOTL.FE.IN","Population, tertiary, female","Education"
"SP.TER.TOTL.IN","Population, tertiary, total","Education"
"SP.TER.TOTL.MA.IN","Population, tertiary, male","Education"
"UIS.AIR.1.GPI","Gender parity index for gross intake ratio. Primary","Education"
"UIS.AIR.2.GPV","Gross entry ratio to lower secondary. General programmes. Total","Education"
"UIS.AIR.2.GPV.F","Gross entry ratio to lower secondary. General programmes. Female","Education"
"UIS.AIR.2.GPV.M","Gross entry ratio to lower secondary. General programmes. Male","Education"
"UIS.AIRE.1.GLAST.GPI","Gender parity index for expected primary completion rate","Education"
"UIS.AY.EM","Ending month of the academic year (Questionnaire A)","Education"
"UIS.AY.SM","Starting month of the academic year (Questionnaire A)","Education"
"UIS.AY.SY","Starting year of the academic year (Questionnaire A)","Education"
"UIS.CEAGEE.1","Ending age of compulsory education","Education"
"UIS.E.0.PR","Enrolment in pre-primary. Private","Education"
"UIS.E.1.G1","Enrolment in primary. Grade 1. Total","Education"
"UIS.E.1.G1.F","Enrolment in primary. Grade 1. Female","Education"
"UIS.E.1.G2","Enrolment in primary. Grade 2. Total","Education"
"UIS.E.1.G2.F","Enrolment in primary. Grade 2. Female","Education"
"UIS.E.1.G3","Enrolment in primary. Grade 3. Total","Education"
"UIS.E.1.G3.F","Enrolment in primary. Grade 3. Female","Education"
"UIS.E.1.G4","Enrolment in primary. Grade 4. Total","Education"
"UIS.E.1.G4.F","Enrolment in primary. Grade 4. Female","Education"
"UIS.E.1.G5","Enrolment in primary. Grade 5. Total","Education"
"UIS.E.1.G5.F","Enrolment in primary. Grade 5. Female","Education"
"UIS.E.1.G6","Enrolment in primary. Grade 6. Total","Education"
"UIS.E.1.G6.F","Enrolment in primary. Grade 6. Female","Education"
"UIS.E.1.PR","Enrolment in primary. Private","Education"
"UIS.E.2","Enrolment in lower secondary. Public and private. All programmes. Total","Education"
"UIS.E.23.GPV.G1","Enrolment in secondary. Grade 1. Total","Education"
"UIS.E.23.GPV.G1.F","Enrolment in secondary. Grade 1. Female","Education"
"UIS.E.23.GPV.G2","Enrolment in secondary. Grade 2. Total","Education"
